2017-04-01,hz,%EF%BC%9F=fromDT,,2
2017-04-01,hz,%EF%BC%9F=fromWQZF,,4
2017-04-01,hz,5,,1
2017-04-01,hz,1,,1
2017-04-01,hz,gongshu,列表页_区域_全拱墅区_全拱墅区,404
2017-04-01,hz,beigan,列表页_区域_萧山区_北干,35
2017-04-01,hz,50207,,1
2017-04-01,hz,guashan,列表页_区域_拱墅区_瓜山,28
2017-04-01,hz,1077530,,1
2017-04-01,hz,binjiang,列表页_区域_全滨江区_全滨江区,287
2017-04-01,hz,50493,,1
2017-04-01,hz,1091852,,4
2017-04-01,hz,gudang,列表页_区域_西湖区_古荡,28
2017-04-01,hz,50638,,1
2017-04-01,hz,binjiang,列表页_区域_徐汇区_滨江,287
2017-04-01,hz,1102638,,3
2017-04-01,hz,54718,,1
2017-04-01,hz,binsheng,列表页_区域_滨江区_滨盛,25
2017-04-01,hz,haierxiang,列表页_区域_下城区_孩儿巷,20
2017-04-01,hz,1166689,,1
2017-04-01,hz,bj1,列表页_范围_1公里以内,231
2017-04-01,hz,hefangjie,列表页_区域_上城区_河坊街,20
2017-04-01,hz,54867,,4
2017-04-01,hz,1184925,,1
2017-04-01,hz,bj2,列表页_范围_3公里以内,35
2017-04-01,hz,55011,,13
2017-04-01,hz,help,,115
2017-04-01,hz,1188359,,1
2017-04-01,hz,bj3,列表页_范围_5公里以内,25
2017-04-01,hz,55841,,1
2017-04-01,hz,1197053,,1
2017-04-01,hz,heping,列表页_区域_下城区_和平,29
2017-04-01,hz,bj4,列表页_范围_7公里以内,24
2017-04-01,hz,8A215243562FF9C20156300E922103CE,,5
2017-04-01,hz,hezu,,457
2017-04-01,hz,bj5,列表页_范围_10公里以内,34
2017-04-01,hz,1200738,,2
2017-04-01,hz,8A215243567D830701567D87AB2700E2,,2
2017-04-01,hz,homeown,,13
2017-04-01,hz,blog,,3
2017-04-01,hz,8A21524356BB3C640156BFBD4D634EDE,,3
2017-04-01,hz,1297862,,2
2017-04-01,hz,huanglong,列表页_区域_西湖区_黄龙,20
2017-04-01,hz,1300828,,7
2017-04-01,hz,8A2152435741E658015741F40C90021E,,8
2017-04-01,hz,brandhouses,,115
2017-04-01,hz,hubin,列表页_区域_下城区_湖滨,27
2017-04-01,hz,1308554,,4
2017-04-01,hz,8A2152435A4659ED015A5F8A7B5A2B20,,2
2017-04-01,hz,caihe,列表页_区域_江干区_采荷,28
2017-04-01,hz,huochedongzhan,列表页_区域_江干区_火车东站,69
2017-04-01,hz,1318977,,2
2017-04-01,hz,caishiqiao,列表页_区域_上城区_菜市桥,17
2017-04-01,hz,8A2152435A6A6E20015A6AB66B030C1B,,1
2017-04-01,hz,huodong,,7
2017-04-01,hz,1321160,,2
2017-04-01,hz,changhe,列表页_区域_滨江区_长河,27
2017-04-01,hz,8A2152435A6A6E20015A79DA0B3D301C,,1
2017-04-01,hz,8A2152435ACCDEE7015ACD1D776803F1,,3
2017-04-01,hz,hx1,列表页_更多_一室,680
2017-04-01,hz,1323216,,2
2017-04-01,hz,changle,列表页_区域_拱墅区_长乐,20
2017-04-01,hz,8A2152435B1DA5D5015B1E9BF3F75AE1,,8
2017-04-01,hz,14190,,2
2017-04-01,hz,hx2,列表页_更多_二室,149
2017-04-01,hz,changqing,列表页_区域_下城区_长庆,14
2017-04-01,hz,8AB398CA5609249C01560E99F3875D7D,,6
2017-04-01,hz,chaoming,列表页_区域_下城区_潮鸣,20
2017-04-01,hz,hx3,列表页_更多_三室,40
2017-04-01,hz,2,,8
2017-04-01,hz,8AB398CA561200330156121DF0DE03CC,,6
2017-04-01,hz,chengxiang,列表页_区域_萧山区_城厢,22
2017-04-01,hz,hx4,列表页_更多_四室,15
2017-04-01,hz,3,,5
2017-04-01,hz,8AB398CA5631C948015634617FE306A3,,1
2017-04-01,hz,cuiyuan,列表页_区域_西湖区_翠苑,20
2017-04-01,hz,hx5,列表页_更多_五室及以上,11
2017-04-01,hz,335,,2
2017-04-01,hz,8AB398CA5659BC5D01565A29D6E611C3,,1
2017-04-01,hz,cx3,列表页_更多_朝南,130
2017-04-01,hz,hz,,2118
2017-04-01,hz,379,,3
2017-04-01,hz,8AB398CA56B0FABC0156B5D21C12581B,,1
2017-04-01,hz,daguan,列表页_区域_拱墅区_大关,37
2017-04-01,hz,info_im_m,详情页_在线咨询_按钮,43
2017-04-01,hz,380,,5
2017-04-01,hz,8AB398CA59AC1AAF0159AF37A0C9067F,,2
2017-04-01,hz,danshen,,152
2017-04-01,hz,info_phone_m,详情页_电话预约_按钮,37
2017-04-01,hz,393,,2
2017-04-01,hz,8AB398CA5A465A50015A50D2ABBE0CB4,,1
2017-04-01,hz,dongxin,列表页_区域_下城区_东新,73
2017-04-01,hz,jianggan,列表页_区域_全江干区_全江干区,59
2017-04-01,hz,395,,2
2017-04-01,hz,8AB398CA5A465A50015A54745D473831,,2
